distance (m),speed (m/s)
0,0
11,0.0555554
11,0.125
11,0.1944445
11,0.5277777
11,0.9166666
11,1.4166666
12,2.0833333
12,2.8055553
12,3.5277777
13,4.3888888
13,5.1944447
14,6.0277781
15,6.8611112
15,7.5555553
16,8.3055553
17,8.9444447
18,9.4722223
19,10
20,10.5277786
21,10.9722223
22,11.5277777
24,12.1111116
25,12.6944456
26,13.250001
28,13.7777786
29,14.3611116
31,14.9444447
32,15.5277796
34,16.1111126
36,16.7222233
37,17.3055553
39,17.916666
41,18.5277786
43,19.0833359
45,19.6111107
47,20.0277767
49,20.4444447
51,20.8055553
53,21.1666679
56,21.5
58,21.8611126
60,22.1944447
62,22.5277767
65,22.8611107
67,23.2500019
69,23.583334
72,23.8611126
74,24.1111126
77,24.3611126
79,24.5555553
82,24.7222214
84,24.9166679
87,25.1111126
89,25.2222233
92,25.25
95,25.2777786
97,25.2870369
100,25.2962971
102,25.3055553
105,25.333334
107,25.3611126
110,25.4444447
113,25.5
115,25.6111126
118,25.7222233
121,25.9166679
123,26.1666698
126,26.4722233
129,26.8333321
131,27.3611107
134,27.7777767
137,28.2777786
140,28.75
143,29.1944447
146,29.5555573
149,29.9722214
152,30.3611145
155,30.7222233
158,31.1388874
162,31.5277786
165,31.8888912
168,32.25
171,32.5833359
175,32.8055573
178,32.9722252
182,33.0833321
185,33.0694466
188,33.0555573
192,33.0277824
195,33
198,33.0277824
202,33.0555573
205,33.0833321
208,33.1388893
212,33.3055573
215,33.4722214
219,33.6944466
222,33.9444466
226,34.1111145
229,34.3055534
233,34.3611145
236,34.3888893
240,34.4166679
243,34.3611145
247,34
250,34.0416679
252.9999847,34.0833359
257,34.2222214
260,34.4444466
264,34.8333359
268,35.1111107
271,35.3333359
275,35.5555573
278,35.75
282,35.9444466
286,36.1111107
289,36.2222252
293,36.3611107
297,36.5555573
301,36.7222214
304,36.9166679
308,37.1388893
312,37.3888893
316,37.5833359
320,37.7222214
323,37.9444466
327,38.1944427
331,38.4444466
335,38.6666679
339,39.0000038
343,39.2222214
347,39.4444427
351,39.6388893
355,39.7222252
359,39.6805573
363,39.6388893
367,39.4722252
371,39.2777786
375,39.0555611
379,38.75
383,38.3611145
387,37.8333359
391,37.3611107
395,37.1388893
398,36.8888893
402,36.6111145
406,36.3333321
409,35.8055611
413,34.8333359
416,34.1388893
420,33.75
423,33.3888893
427,33.0555573
430,32.7777786
433,32.5
436,32.3611107
440,32.2777786
443,32.2222252
446,32.3055573
450,32.3888893
453,32.4027786
456,32.4166679
460,32.4722252
463,32.4166679
466,32.25
469,32.1944427
473,32.1388931
476,32.0833321
479,32.0972214
482,32.1111107
486,32.3055573
489,32.5555573
492,32.8611145
496,33.2222214
499,33.75
503.0000305,34.1388893
505.9999695,34.5000038
510,34.8611107
513,35.1666679
517,35.3055573
520,35.4722252
524,35.6111107
528,35.75
531,35.8333321
535,35.8055611
539,35.9166679
542,36
546,36.1111107
550,36.25
553,36.5277786
557,36.6944466
561,36.7777824
565,36.8888893
568,37.0277786
572,37.0555573
576,37.1944504
580,37.4166679
584,37.6666679
587,37.9166679
591,38.25
595,38.5000038
599,38.75
603,38.9722252
607,39.1944466
611,39.5
615,39.6666679
619,39.8333359
623,39.9722252
627,39.9444466
631,39.8333359
635,39.6666679
639,39.3333359
643,38.9444427
647,38.6388893
651,38.2222214
655,37.9166679
659,37.6388893
663,37.3611107
667,37.0833321
670,36.8055573
674,36.5277786
678,36.25
681,35.9722252
685,35.7222252
689,35.4444427
692,35.1666679
696,34.8888893
699,34.6388893
703,34.3333359
706,34.0277786
710,33.75
713,33.4444466
716,33.1666679
720,32.9444466
723,32.75
726,32.6111107
730,32.5277786
733,32.5
736,32.5416679
740,32.5833359
743,32.6944466
746,32.8333359
750,33.0277786
753,33.2222214
756,33.5555573
760,33.75
763,33.9444466
767,34.1111145
770,34.0138893
774,33.9166679
777,33.8888893
781,33.7777786
784,33.6666679
787,33.75
791,33.9166679
794,34.1388893
798,34.5277786
801,34.9444466
805,35.25
809,35.6388931
812,35.9166679
816,36.1388931
820,36.3055573
823,36.5277786
827,36.6666641
831,36.8611107
835,37.0555573
838,37.2777786
842,37.5277824
846,37.8333359
850,38.0277824
854,38.25
858,38.4166679
862,38.4444466
866,38.4166679
870,38.3333359
873,38.1111107
877,37.8888893
881,37.6944427
885,37.4722252
889,37.25
892,37.0833321
896,36.9166679
900,36.6666641
904,36.4166679
907,36.1111107
911,35.75
915,35.3888931
918,35
922,34.5555534
925,34.1666679
929,33.7222214
932,33.2777786
935,32.9444466
939,32.5833359
942,32.3055573
945,32.0833321
948,31.9166679
952,31.7777786
955,31.75
958,31.6944447
961,31.6388912
964,31.6111107
968,31.5555553
971,31.4722233
974,31.3888874
977,31.2777786
980,31.166666
984,31.0555592
987,30.916666
990,30.8611107
993,30.833334
996,30.8472233
999,30.8611107
1002,30.9999981
1006.000061,31.1111107
1008.999939,31.2777786
1011.999939,31.5
1015,31.7222233
1018,32.0277786
1021.999939,32.3333321
1025,32.6944466
1028,33.0555573
1032,33.3888893
1035,33.75
1039,34.1111145
1042,34.4444466
1046,34.75
1049,35.1111107
1053,35.5
1057,35.8055611
1060,36.0833359
1064,36.3333321
1068,36.4444466
1071,36.5000038
1075,36.4722252
1079,36.3333321
